episode,reward
1,-181.62999999999974
2,-912.6669999999998
3,-276.216
4,-273.59000000000003
5,-109.742
6,-957.8859999999999
7,-201.70500000000018
8,-109.39800000000004
9,-220.37700000000007
10,-123.71000000000001
11,-973.1879999999999
12,-358.2990000000002
13,-969.502
14,-199.05999999999995
15,-726.2779999999998
16,-97.73199999999994
17,-242.51500000000024
18,-1414.8819999999976
19,-231.146
20,-891.4699999999995
21,-1032.8269999999984
22,-1061.0349999999992
23,-938.9579999999984
24,-877.2729999999985
25,-318.79999999999995
26,-581.5850000000002
27,-269.437
28,-422.687
29,-350.31300000000016
30,-199.16800000000035
31,-1070.927999999999
32,-913.7579999999999
33,-874.9829999999997
34,-744.7480000000003
35,-1272.0859999999982
36,-557.8090000000001
37,-154.80300000000008
38,-317.408
39,-194.639
40,-432.71700000000004
41,-1229.2529999999977
42,-846.395999999998
43,-161.8139999999999
44,-259.03400000000016
45,-847.732
46,-55.416999999999504
47,-357.05999999999983
48,-374.8139999999996
49,-684.5969999999998
50,-844.1909999999993
51,-459.9550000000005
52,-219.64100000000008
53,-413.03299999999984
54,-624.1149999999996
55,-338.7770000000001
56,-1050.8989999999997
57,-434.2140000000003
58,-301.64200000000005
59,-1139.9260000000004
60,-367.0259999999999
61,-337.71299999999997
62,-408.47299999999973
63,-289.56000000000023
64,-219.72800000000007
65,-218.63999999999996
66,-316.707
67,-1137.2609999999984
68,-670.7150000000001
69,-199.42299999999994
70,-176.11399999999986
71,-244.54799999999997
72,-605.0420000000001
73,-364.264
74,-293.2710000000001
75,-502.3120000000002
76,-803.9149999999998
77,-529.2870000000005
78,-253.0490000000002
79,-540.0530000000001
80,-79.507
81,-769.1319999999997
82,-1091.1999999999985
83,-441.76
84,-1225.201999999999
85,-334.211
86,-416.7199999999996
87,-159.94699999999997
88,-636.3480000000006
89,-1554.7169999999965
90,-20.527000000000037
91,-555.8370000000009
92,-226.71000000000004
93,-359.72599999999994
94,-323.4309999999999
95,-233.152
96,-78.28800000000011
97,-745.6400000000007
98,-312.2249999999998
99,-456.618
100,-334.335
101,-710.4209999999998
102,-321.27199999999993
103,-85.1830000000001
104,-376.038
105,-387.082
106,-1851.7749999999955
107,-541.3520000000001
108,-765.5739999999995
109,-143.54500000000004
110,-365.60500000000013
111,-555.3660000000004
112,-391.639
113,-168.0649999999999
114,-1398.4709999999975
115,-289.9130000000001
116,-324.292
117,-364.49100000000016
118,-335.4649999999997
119,-115.89699999999984
120,-1602.023999999996
121,-154.96500000000003
122,-861.9659999999996
123,-595.9200000000003
124,-98.59900000000027
125,-394.03100000000006
126,-495.98900000000003
127,-1201.4529999999959
128,-1257.9469999999978
129,-685.2970000000003
130,-943.6329999999998
131,-1315.9029999999989
132,-709.1430000000005
133,-419.9419999999999
134,-310.7589999999997
135,-141.2470000000003
136,-396.788
137,-183.4940000000001
138,-352.6809999999999
139,-219.163
140,-1294.339999999999
141,-1428.5469999999982
142,-1274.1029999999982
143,-1438.046999999998
144,-490.76600000000036
145,-1432.720999999996
146,-1201.3419999999985
147,-586.4360000000001
148,-1302.3499999999967
149,-995.2159999999993
150,-706.4549999999997
151,-1163.5639999999944
152,-1291.043999999998
153,-424.08799999999997
154,-671.1480000000001
155,-1154.8459999999973
156,-1623.188999999996
157,-601.2280000000003
158,-696.895
159,-1272.7499999999989
160,-669.4769999999999
161,-2.334999999999958
162,-257.7780000000002
163,-1088.0159999999996
164,-233.91899999999998
165,-1302.707999999998
166,-798.2830000000004
167,-278.10600000000045
168,-552.187
169,-312.01799999999974
170,-967.9769999999991
171,-175.60400000000016
172,-746.8019999999995
173,-279.3209999999999
174,-563.5939999999998
175,-530.9910000000006
176,-906.361
177,-1101.0129999999988
178,-805.4179999999996
179,-364.5260000000002
180,-1241.3859999999986
181,-692.4309999999996
182,-1158.8739999999968
183,-252.54699999999985
184,-587.3220000000007
185,-1493.9329999999984
186,-1388.6079999999984
187,-491.0390000000003
188,-1023.3469999999988
189,-741.0790000000006
190,-626.1980000000012
191,-711.0240000000003
192,-1078.6319999999973
193,-556.0050000000001
194,-722.0179999999996
195,-1094.728999999999
196,-650.7170000000007
197,-527.545000000001
198,-517.482
199,-481.35900000000026
200,-289.16899999999987
