episode,reward
1,-281.381
2,-414.77100000000013
3,-311.304
4,-264.6269999999999
5,-98.20499999999998
6,6.664999999999935
7,-6.004999999999967
8,-108.15499999999994
9,-33.22
10,-3.168000000000035
11,-1043.0929999999996
12,-287.1640000000001
13,-945.0360000000001
14,-690.7259999999999
15,-1336.0389999999986
16,-324.385
17,-590.53
18,-1157.5749999999987
19,-1273.9009999999969
20,-520.2060000000001
21,-1187.1319999999987
22,-464.3129999999994
23,-926.2130000000004
24,-1200.5339999999983
25,-1522.5259999999964
26,-1134.4419999999993
27,-1830.1669999999958
28,-156.8290000000004
29,-365.9019999999998
30,-404.5300000000002
31,-543.256
32,-918.3259999999995
33,-287.27200000000005
34,-446.07100000000025
35,-138.18600000000015
36,-912.955999999999
37,-895.7200000000004
38,-956.6999999999991
39,-1184.0249999999992
40,-134.497
41,-573.0020000000003
42,-274.8709999999999
43,-199.1860000000001
44,-1212.9989999999962
45,-1150.6639999999998
46,-1082.6749999999972
47,-168.55900000000003
48,-348.7210000000001
49,-54.23699999999994
50,-957.6549999999995
51,-690.6779999999997
52,-280.21499999999986
53,-393.59
54,-123.60200000000009
55,-404.92700000000013
56,-177.8890000000002
57,-297.2630000000003
58,-948.6729999999989
59,-1036.0659999999973
60,-273.123
61,-353.3139999999998
62,-190.09800000000007
63,-1323.3869999999995
64,-942.5389999999979
65,-528.6910000000008
66,-656.5370000000006
67,-234.59600000000006
68,-101.79799999999976
69,-1208.150999999996
70,-1451.4869999999976
71,-49.26199999999996
72,-153.8249999999999
73,-1165.1779999999974
74,-602.8030000000003
75,-1000.6690000000001
76,-247.803
77,-352.027
78,-957.5529999999993
79,-793.893
80,-949.1539999999989
81,-123.13199999999998
82,-394.0250000000001
83,-458.0149999999999
84,-1309.030999999998
85,-437.6879999999999
86,-199.62599999999998
87,-173.10400000000016
88,-1202.8069999999982
89,-1468.8529999999957
90,-921.3689999999983
91,-346.74300000000005
92,-684.7349999999999
93,-438.99900000000014
94,-1127.6519999999978
95,-584.394
96,-1648.6019999999967
97,-602.2030000000003
98,-93.3930000000002
99,-1713.3729999999964
100,-851.2479999999997
101,-301.26800000000003
102,-539.6400000000001
103,-337.2660000000002
104,-410.32000000000045
105,-759.1509999999998
106,-734.9370000000001
107,-361.50099999999986
108,-794.0000000000006
109,-609.0010000000001
110,-1149.2679999999993
111,-108.35800000000009
112,-907.0449999999996
113,-436.0310000000004
114,-445.5760000000005
115,-1251.7239999999963
116,-481.98099999999977
117,-784.3510000000002
118,-78.355
119,-756.4239999999995
120,-517.1000000000003
121,-309.9929999999998
122,-3.464999999999975
123,-224.49400000000003
124,-962.4639999999984
125,-761.3609999999995
126,-761.1240000000001
127,-766.76
128,-687.3600000000002
129,-758.1459999999998
130,-352.5179999999999
131,-93.447
132,-1654.7899999999936
133,-369.01699999999994
134,-1227.4419999999984
135,-171.50900000000019
136,-525.2170000000004
137,-158.893
138,-585.983
139,-364.4019999999997
140,-1457.0579999999973
141,-280.62400000000025
142,-1012.1829999999987
143,-570.225
144,-331.97099999999995
145,-662.9489999999997
146,-490.46000000000015
147,-435.5650000000005
148,-901.9999999999992
149,-925.9479999999996
150,-548.2520000000002
151,-634.0230000000007
152,-265.2759999999999
153,-1208.260999999998
154,-560.0810000000002
155,-755.6240000000001
156,-247.04199999999975
157,-882.5409999999995
158,-180.3910000000001
159,-572.2830000000013
160,-544.5720000000009
161,-334.9140000000001
162,-365.1170000000002
163,-317.3199999999997
164,-264.03999999999985
165,-719.923000000001
166,-326.8950000000001
167,-1043.9399999999973
168,-1270.2199999999982
169,-296.404
170,-647.3280000000004
171,-199.52900000000005
172,-404.124
173,-233.6620000000001
174,-405.34900000000016
175,-347.432
176,-1278.0949999999987
177,-465.7769999999998
178,-545.9340000000003
179,-271.38900000000007
180,-540.6600000000005
181,-530.2759999999998
182,-518.3600000000007
183,-496.51700000000045
184,-1128.6829999999989
185,-795.2859999999993
186,-1286.6079999999981
187,-356.1020000000003
188,-444.97000000000094
189,-264.39600000000013
190,-536.1080000000004
191,-555.0270000000006
192,-681.5310000000006
193,-492.15800000000024
194,-830.3129999999986
195,-355.6039999999998
196,-1519.3179999999968
197,-191.39999999999986
198,-521.3550000000007
199,-640.1820000000002
200,-993.9049999999997
