episode,reward
1,-1162.7430000000002
2,-356.07399999999996
3,-766.9009999999998
4,-354.74699999999996
5,-690.9879999999998
6,-1241.3469999999968
7,-1563.4439999999947
8,-250.27499999999995
9,-415.4589999999999
10,-1492.5229999999976
11,-18.049999999999955
12,-649.7940000000008
13,-160.84299999999996
14,-1742.256999999995
15,-414.63599999999997
16,-1229.9219999999973
17,-983.6279999999996
18,-775.2639999999996
19,-18.118999999999915
20,-406.9110000000003
21,-1199.4839999999988
22,-78.67500000000004
23,-78.08799999999997
24,-32.97400000000016
25,-604.9310000000012
26,-143.51400000000004
27,-169.06100000000012
28,-1167.0259999999964
29,-148.55100000000004
30,-78.38999999999996
31,-289.515
32,-1576.6249999999945
33,-1231.5049999999972
34,-590.4010000000011
35,-1101.1869999999988
36,-1401.1669999999983
37,-1267.844999999997
38,-258.56899999999996
39,-514.9300000000006
40,-47.85299999999995
41,-296.2220000000001
42,-1457.2479999999953
43,11.930000000000007
44,-138.78900000000004
45,-273.4230000000001
46,-409.45599999999956
47,-69.00500000000028
48,-349.27599999999984
49,-375.6530000000002
50,-580.0860000000008
51,-485.1660000000011
52,-1242.7709999999963
53,-491.98099999999977
54,-258.717
55,-369.9000000000003
56,-437.4290000000001
57,-1448.2839999999965
58,-1185.4469999999985
59,-717.8559999999999
60,-485.0600000000012
61,-1272.386999999997
62,-650.0519999999993
63,-780.874
64,-1103.5419999999995
65,-724.6420000000005
66,-78.40100000000004
67,-1388.9509999999916
68,-524.8630000000002
69,-512.2690000000002
70,-1244.4269999999985
71,-1153.3519999999985
72,-183.56600000000003
73,-1236.2689999999993
74,-922.9100000000008
75,-667.2910000000006
76,-1239.7239999999983
77,-232.37199999999987
78,-820.8619999999992
79,-1407.7689999999968
80,-1226.0659999999932
81,-153.10000000000002
82,-93.70300000000027
83,-1090.298999999996
84,-1212.708999999999
85,-749.7369999999999
86,-378.84200000000027
87,-1207.6079999999981
88,-1056.5149999999983
89,-1289.4659999999958
90,-889.4599999999987
91,-1207.3329999999967
92,-1031.1309999999983
93,-460.73500000000047
94,-609.3230000000002
95,-1090.7549999999987
96,-3.1230000000000757
97,-1336.010999999998
98,-3.351000000000198
99,-379.6449999999998
100,-490.99799999999993
101,-293.648
102,-866.8309999999993
103,-78.28899999999993
104,41.80800000000014
105,-1312.5059999999962
106,11.679999999999723
107,-168.42399999999998
108,-1196.1539999999982
109,-180.21699999999993
110,-284.47400000000005
111,-424.52300000000054
112,-318.9529999999998
113,-63.48899999999997
114,-249.13800000000003
115,-123.7810000000001
116,-476.0859999999999
117,-264.7479999999995
118,-33.13599999999994
119,-634.5130000000004
120,-680.096
121,-424.8909999999998
122,-48.98800000000017
123,-695.0060000000004
124,-1521.9829999999952
125,-1719.6369999999977
126,-1091.5529999999967
127,-948.7959999999991
128,-33.49800000000019
129,-340.24299999999994
130,-745.6670000000005
131,-1248.9369999999965
132,-63.53399999999988
133,-219.78499999999974
134,-857.7379999999981
135,-337.56899999999973
136,-204.18400000000017
137,-109.0220000000004
138,-138.43800000000024
139,-1141.2329999999977
140,-600.3220000000007
141,-240.65899999999993
142,-1271.4689999999978
143,-63.618000000000094
144,-78.44200000000018
145,-845.2930000000003
146,-99.25100000000009
147,-641.6410000000004
148,-381.644
149,-168.51100000000008
150,-138.08799999999997
151,-229.08399999999966
152,-656.4830000000009
153,-632.0190000000007
154,-93.40799999999996
155,-390.9439999999998
156,-204.01000000000013
157,-154.56999999999965
158,-334.16499999999974
159,-550.6260000000007
160,-138.62000000000012
161,-394.1830000000003
162,-430.5090000000006
163,-1076.3599999999976
164,-1265.669999999998
165,-416.3430000000004
166,-361.63500000000016
167,-18.690999999999576
168,-661.6800000000009
169,-445.4879999999998
170,-544.8410000000003
171,-686.6870000000007
172,-244.37600000000037
173,-326.1300000000001
174,-234.82099999999986
175,-1639.4319999999955
176,-153.46700000000004
177,-259.3459999999995
178,-816.1310000000003
179,-454.59999999999974
180,-183.65200000000004
181,-406.3980000000001
182,-275.28899999999976
183,-416.57300000000004
184,-581.9390000000002
185,-138.71500000000015
186,-33.54199999999979
187,-3.7119999999998186
188,-93.47899999999998
189,-331.0559999999998
190,-333.96299999999985
191,-138.56599999999997
192,-123.93099999999981
193,-837.0859999999997
194,-981.7069999999983
195,-123.17899999999997
196,-199.05900000000022
197,-997.3929999999992
198,-340.4489999999996
199,-607.8440000000011
200,-384.8470000000002
