episode,raw_episode_return,shaped_episode_return,decision_steps,epsilon,mean_real_td_error,mean_planning_td_error,planning_updates,model_size,queue_size,meta_keep,meta_swap,meta_charge,meta_fallback,delivered,dropped,depletion_events,energy,cost_per_order,success_rate
1,1559.8350000000019,1542.9349999999995,161,0.992,11.839011957267333,9.05673840845449,4773,138,2194,157,3,1,0,125,9,2,28.665000000001683,2.1613200000000132,0.9328358208955224
2,1362.890000000002,1348.9399999999996,157,0.9840639999999999,22.66894863002524,11.644595688113235,4710,261,5171,155,1,1,0,122,20,2,25.910000000001222,3.5418852459016494,0.8591549295774648
3,1464.2510000000002,1437.4509999999987,158,0.9761914879999999,18.757266140177467,10.026768220502113,4740,383,9976,155,1,2,0,122,11,3,27.04900000000143,2.8340081967213235,0.9172932330827067
4,1589.497,1583.297,175,0.9683819560959999,17.25284698963099,11.419081924892609,5250,510,17879,174,0,1,0,136,17,2,29.603000000001828,2.90811029411766,0.8888888888888888
5,1153.948,1125.0980000000004,143,0.9606349004472319,18.066471049614197,10.583426848324864,4290,616,22606,143,0,0,0,108,16,3,24.352000000001045,3.898629629629639,0.8709677419354839
6,1781.614,1790.8639999999994,178,0.952949821243654,17.57886519891555,9.182781084467857,5340,751,31891,173,1,4,0,135,11,0,31.28600000000237,1.5065629629629804,0.9246575342465754
7,1934.407,1930.257,185,0.9453262226737048,20.544337200131142,12.264432187209257,5550,867,40782,183,0,2,0,146,9,1,31.793000000002195,1.5109109589041245,0.9419354838709677
8,1532.8760000000013,1507.325999999999,158,0.9377636128923151,24.042663108003385,13.152571662568844,4740,966,47823,157,0,1,0,122,5,3,26.224000000001414,2.1075737704918147,0.9606299212598425
9,1705.7510000000007,1690.9509999999993,164,0.9302615039891766,28.92249774321255,11.550013566210986,4920,1063,59950,164,0,0,0,127,3,2,27.84900000000162,1.372039370078753,0.9769230769230769
10,1574.9119999999991,1567.6119999999999,165,0.9228194119572632,19.270156146032793,11.333925525202895,4950,1174,72472,162,1,2,0,128,15,1,26.888000000001437,2.4225625000000113,0.8951048951048951
11,1145.8170000000005,1106.3169999999993,135,0.9154368566616051,19.36185282133347,9.149246993241487,4050,1268,87895,134,0,1,0,106,12,4,23.483000000000864,3.860216981132084,0.8983050847457628
12,1454.8750000000014,1439.7249999999995,166,0.9081133618083123,23.30884999187147,9.028911573556531,4980,1362,106852,165,0,1,0,128,17,2,28.92500000000173,3.0869140625000133,0.8827586206896552
13,1331.1090000000006,1292.0089999999998,148,0.9008484549138458,23.7952528836558,12.277335965740786,4440,1439,119340,148,0,0,0,111,6,4,26.591000000001397,2.8728918918919044,0.9487179487179487
14,551.8549999999996,533.4550000000002,135,0.893641667274535,18.861775911047502,9.315755800906524,4050,1540,136889,132,0,3,0,106,46,4,23.045000000000805,8.80325471698114,0.6973684210526315
15,1438.9120000000019,1421.8120000000001,154,0.8864925339363386,21.717159012199513,9.829199091361199,4620,1619,155777,153,1,0,0,118,8,3,26.388000000001288,2.5515932203389937,0.9365079365079365
16,1105.285,1078.9349999999997,141,0.8794005936648479,20.937175344002057,9.890179174109834,4230,1710,176852,137,2,2,0,109,21,3,22.315000000000722,4.5386697247706485,0.8384615384615385
17,1489.4690000000016,1474.4689999999998,159,0.8723653889155292,21.628907323908646,9.690373498038927,4770,1804,195910,156,1,2,0,121,11,2,26.931000000001333,2.442404958677697,0.9166666666666666
18,751.7460000000001,712.6459999999996,133,0.865386465804205,22.795404231932043,9.593975253391982,3990,1881,212053,132,0,1,0,103,34,4,23.75400000000091,7.216058252427193,0.7518248175182481
19,898.6890000000004,882.3389999999997,149,0.8584633740777713,19.049012634828188,9.107128921797878,4470,1976,231203,147,1,1,0,113,37,3,25.111000000001127,6.560274336283197,0.7533333333333333
20,1076.846000000001,1049.996,141,0.8515956670851491,23.958012281038553,8.485781170684957,4230,2057,254938,139,0,2,0,107,22,3,24.154000000000927,4.749102803738326,0.8294573643410853
21,1409.0280000000005,1381.127999999999,154,0.8447829017484679,21.59726737803695,7.164393905746987,4620,2126,280886,153,1,0,0,121,9,4,26.972000000001433,3.0245619834710866,0.9307692307692308
22,1072.1230000000012,1044.873,135,0.8380246385344802,23.79105266120837,11.276335464995585,4050,2190,301713,135,0,0,0,105,20,3,24.277000000000953,4.551209523809533,0.84
23,966.6760000000004,937.2759999999997,137,0.8313204414262043,19.45479206838747,7.259319033935992,4110,2270,326651,137,0,0,0,106,27,3,23.52400000000089,5.503056603773593,0.7969924812030075
