episode,raw_episode_return,shaped_episode_return,decision_steps,epsilon,mean_real_td_error,mean_planning_td_error,planning_updates,model_size,queue_size,meta_keep,meta_swap,meta_charge,meta_fallback,delivered,dropped,depletion_events,energy,cost_per_order,success_rate
1,1559.8350000000019,1542.9349999999995,161,0.988,12.218576587586206,9.233032553448142,4773,138,2154,157,3,1,0,125,9,2,28.665000000001683,2.1613200000000132,0.9328358208955224
2,1362.890000000002,1348.9399999999996,157,0.976144,25.40138104555618,11.943103503067276,4710,261,5219,155,1,1,0,122,20,2,25.910000000001222,3.5418852459016494,0.8591549295774648
3,1539.1460000000018,1524.4959999999987,162,0.964430272,18.54405490623393,11.373149399158887,4860,386,9134,159,1,2,0,122,9,2,27.05400000000146,2.179131147540996,0.9312977099236641
4,1363.2320000000009,1333.6819999999998,164,0.9528571087359999,17.19924594018972,13.013210967013503,4920,515,15307,164,0,0,0,130,22,3,27.16800000000144,4.013600000000011,0.8552631578947368
5,1290.5340000000015,1262.9840000000004,143,0.9414228234311679,18.01677060985638,9.398365195925697,4290,622,20713,142,0,1,0,112,11,3,25.166000000001162,3.120232142857153,0.9105691056910569
6,1593.3160000000012,1572.8660000000002,171,0.9301257495499938,19.78635781648302,9.827159784411826,5130,749,29932,171,0,0,0,133,15,2,29.084000000001833,2.7194285714285855,0.8986486486486487
7,1859.3579999999993,1845.057999999999,182,0.9189642405553939,21.355685068417216,12.956718860441075,5460,866,37598,180,0,2,0,144,9,2,31.242000000002108,1.8794583333333479,0.9411764705882353
8,1532.8760000000013,1507.325999999999,158,0.9079366696687292,25.59657288089253,10.764201691885035,4740,962,47349,157,0,1,0,122,5,3,26.224000000001414,2.1075737704918147,0.9606299212598425
9,1705.7510000000007,1690.9509999999993,164,0.8970414296327045,30.053535863318448,12.157697144635325,4920,1060,58022,164,0,0,0,127,3,2,27.84900000000162,1.372039370078753,0.9769230769230769
10,1512.194000000001,1510.094,165,0.886276932477112,19.595704626867718,9.784285076989066,4950,1172,71194,161,2,2,0,126,17,1,27.106000000001465,2.6810000000000116,0.8811188811188811
11,1145.8170000000005,1106.3169999999993,135,0.8756416092873867,22.855299177945213,10.597478360776549,4050,1263,85490,134,0,1,0,106,12,4,23.483000000000864,3.860216981132084,0.8983050847457628
12,1292.4180000000006,1256.9680000000005,161,0.865133909975938,25.568535094490702,8.729028818671502,4830,1352,103055,161,0,0,0,125,18,4,27.98200000000158,4.100656000000012,0.8741258741258742
13,1331.1090000000006,1292.0089999999998,148,0.8547523030562267,27.68792083325821,12.143493665553427,4440,1425,114659,148,0,0,0,111,6,4,26.591000000001397,2.8728918918919044,0.9487179487179487
14,849.7949999999996,823.345,149,0.844495275419552,18.88277231759373,10.213360037419617,4470,1528,131062,146,0,3,0,113,40,3,24.205000000000982,6.9487168141593,0.738562091503268
15,1464.7530000000015,1435.7030000000004,154,0.8343613321145175,23.884734971678586,8.534518663552932,4620,1620,151196,154,0,0,0,122,6,4,26.4470000000013,2.6659590163934537,0.953125
16,1339.0730000000005,1321.0230000000004,146,0.8243489961291433,25.003965745310058,10.773008329900975,4380,1698,170434,144,2,0,0,116,16,2,23.827000000000957,3.197646551724146,0.8787878787878788
17,1539.429000000002,1537.8289999999995,160,0.8144568081755935,27.428811613761354,10.670356058155496,4800,1791,189746,155,1,4,0,121,11,1,26.97100000000134,2.029512396694226,0.9166666666666666
18,751.7460000000001,712.6459999999996,133,0.8046833264774864,25.410303470149945,9.71747448749112,3990,1864,207153,132,0,1,0,103,34,4,23.75400000000091,7.216058252427193,0.7518248175182481
19,1471.1380000000004,1452.7380000000003,168,0.7950271265597566,21.91320003964661,7.98350127651578,5040,1957,228901,165,1,2,0,130,21,2,28.462000000001655,3.4527846153846284,0.8609271523178808
20,1073.8390000000002,1044.0890000000002,135,0.7854868010410395,22.579302777336153,6.916403990910378,4050,2039,251266,135,0,0,0,106,20,3,22.96100000000078,4.492084905660385,0.8412698412698413
