episode,episode_return,steps,epsilon,replay_size
1,-355.70300000000003,111,0.5732736268885887,111
2,-88.92199999999991,96,0.3543053533848483,207
3,-89.01300000000012,73,0.2457325055235537,280
4,-129.24599999999998,103,0.14663577052834775,383
5,-70.04099999999985,92,0.09246201511725258,475
6,-194.68399999999994,68,0.06575561514114299,543
7,-175.09699999999998,115,0.05,658
8,-145.1569999999998,111,0.05,769
9,-104.57299999999992,121,0.05,890
10,-49.19699999999979,161,0.05,1051
11,-234.31699999999987,142,0.05,1193
12,-276.02300000000014,134,0.05,1327
13,-181.25299999999964,176,0.05,1503
14,-438.88000000000005,159,0.05,1662
15,-335.84499999999997,165,0.05,1827
16,-450.4190000000001,233,0.05,2060
17,-361.3679999999993,186,0.05,2246
18,-493.08699999999976,228,0.05,2474
19,-705.3030000000001,186,0.05,2660
20,-413.06700000000006,174,0.05,2834
21,-644.9280000000005,198,0.05,3032
22,-563.659,210,0.05,3242
23,-488.14700000000016,169,0.05,3411
24,-470.04800000000023,313,0.05,3724
25,-283.6360000000001,176,0.05,3900
26,-392.34800000000007,153,0.05,4053
27,-391.97800000000007,180,0.05,4233
28,-336.46299999999997,123,0.05,4356
29,-821.9070000000004,290,0.05,4646
30,-611.0430000000002,223,0.05,4869
31,-490.50700000000023,158,0.05,5027
32,-276.913,189,0.05,5216
33,-304.10800000000006,226,0.05,5442
34,-503.7,308,0.05,5750
35,-530.7200000000003,238,0.05,5988
36,-437.9760000000006,227,0.05,6215
37,-389.31799999999976,157,0.05,6372
38,-767.8220000000003,278,0.05,6650
39,-573.1600000000001,252,0.05,6902
40,-443.1190000000001,156,0.05,7058
41,-694.6519999999999,256,0.05,7314
42,-382.25800000000015,210,0.05,7524
43,-461.8770000000003,187,0.05,7711
44,-739.0560000000003,231,0.05,7942
45,-347.388,192,0.05,8134
46,-698.6789999999997,277,0.05,8411
47,-358.6880000000002,242,0.05,8653
48,-555.5420000000004,204,0.05,8857
49,-693.186,281,0.05,9138
50,-564.6990000000005,216,0.05,9354
51,-197.58499999999972,232,0.05,9586
52,-578.4200000000001,234,0.05,9820
53,-532.3460000000003,301,0.05,10121
54,-581.079,291,0.05,10412
55,-580.9780000000006,232,0.05,10644
56,-658.9090000000001,244,0.05,10888
57,-652.9330000000002,247,0.05,11135
58,-583.4530000000005,230,0.05,11365
59,-434.6260000000002,208,0.05,11573
60,-976.9649999999993,265,0.05,11838
61,-883.6719999999989,342,0.05,12180
62,-349.99299999999994,202,0.05,12382
63,-752.912,264,0.05,12646
64,-935.6739999999987,352,0.05,12998
65,-598.8270000000002,286,0.05,13284
66,-495.3550000000002,218,0.05,13502
67,-486.6570000000002,196,0.05,13698
68,-265.65900000000005,195,0.05,13893
69,-656.923,279,0.05,14172
70,-469.981,222,0.05,14394
71,-784.7289999999999,275,0.05,14669
72,-412.75200000000007,314,0.05,14983
73,-463.62799999999993,219,0.05,15202
74,-299.3619999999997,240,0.05,15442
75,-370.35000000000036,256,0.05,15698
76,-895.6589999999985,311,0.05,16009
77,-530.5450000000001,221,0.05,16230
78,-726.6809999999999,289,0.05,16519
79,-888.7439999999991,275,0.05,16794
80,-312.5429999999999,210,0.05,17004
