row_type,step,update,episode,episode_return,episode_length,loss,policy_loss,value_loss,entropy
episode,82,1,0,-962.992,82,,,,
update,128,1,1,,,33496.09375,-279.24737548828125,67550.71875,1.919313669204712
episode,175,2,1,8.81999999999988,93,,,,
episode,239,2,2,-442.688,64,,,,
update,256,2,3,,,14058.6181640625,-151.0733642578125,28419.416015625,1.6973648071289062
episode,313,3,3,-485.77200000000005,74,,,,
update,384,3,4,,,17599.08984375,-159.50172424316406,35517.22265625,1.8564943075180054
episode,399,4,4,-4.5330000000001505,86,,,,
episode,455,4,5,-916.34,56,,,,
update,512,4,6,,,35259.4375,-337.9278259277344,71194.78125,2.2194039821624756
episode,516,5,6,-216.15700000000004,61,,,,
episode,603,5,7,-430.4050000000001,87,,,,
update,640,5,8,,,15169.3154296875,-143.33724975585938,30625.34375,1.9740822315216064
episode,705,6,8,-434.6619999999998,102,,,,
update,768,6,9,,,10508.357421875,-117.71214294433594,21252.17578125,1.8954261541366577
episode,819,7,9,58.98100000000011,114,,,,
episode,894,7,10,-281.63300000000004,75,,,,
update,896,7,11,,,11434.3349609375,-186.50714111328125,23241.720703125,1.8752657175064087
episode,951,8,11,-249.55299999999994,57,,,,
update,1024,8,12,,,8759.39453125,-39.05070877075195,17596.927734375,1.8509551286697388
episode,1029,9,12,92.08999999999995,78,,,,
episode,1119,9,13,-286.02000000000004,90,,,,
update,1152,9,14,,,9316.4755859375,-90.26216125488281,18813.513671875,1.9321832656860352
episode,1196,10,14,-214.503,77,,,,
update,1280,10,15,,,8996.53515625,-55.05647659301758,18103.224609375,2.006845474243164
episode,1294,11,15,-429.12299999999993,98,,,,
episode,1372,11,16,-81.41100000000009,78,,,,
update,1408,11,17,,,15279.5712890625,-104.87737274169922,30768.93359375,1.811743140220642
episode,1451,12,17,-0.039000000000115165,79,,,,
episode,1529,12,18,-249.05200000000005,78,,,,
update,1536,12,19,,,10028.513671875,-138.1339111328125,20333.33203125,1.8357816934585571
episode,1657,13,19,206.13999999999987,128,,,,
update,1664,13,20,,,4726.94970703125,24.16029167175293,9405.6162109375,1.8626108169555664
episode,1729,14,20,-330.179,72,,,,
update,1792,14,21,,,11379.982421875,-116.55117797851562,22993.1015625,1.7601299285888672
episode,1805,15,21,-78.24899999999995,76,,,,
episode,1876,15,22,-170.29499999999996,71,,,,
update,1920,15,23,,,6376.35546875,-49.435550689697266,12851.6181640625,1.8190734386444092
episode,1973,16,23,-536.7180000000002,97,,,,
update,2048,16,24,,,15959.94921875,-108.15003204345703,32136.234375,1.8031268119812012
episode,2081,17,24,-605.4570000000001,108,,,,
episode,2166,17,25,-475.81800000000004,85,,,,
update,2176,17,26,,,32011.111328125,-339.9246520996094,64702.109375,2.0319766998291016
episode,2267,18,26,-1203.744,101,,,,
update,2304,18,27,,,41674.94140625,-274.20904541015625,83898.34375,1.9298046827316284
episode,2337,19,27,-972.5599999999998,70,,,,
update,2432,19,28,,,33828.109375,-176.7165069580078,68009.6875,1.7684295177459717
episode,2448,20,28,-187.4839999999998,111,,,,
episode,2550,20,29,-54.29300000000015,102,,,,
update,2560,20,30,,,12583.93359375,-96.7017593383789,25361.306640625,1.8044425249099731
episode,2614,21,30,-631.577,64,,,,
update,2688,21,31,,,19538.29296875,-129.0417022705078,39334.703125,1.6814062595367432
episode,2713,22,31,-181.48500000000007,99,,,,
update,2816,22,32,,,6379.2353515625,-14.153757095336914,12786.8134765625,1.764567494392395
episode,2821,23,32,123.41499999999996,108,,,,
episode,2913,23,33,-979.7480000000002,92,,,,
update,2944,23,34,,,33047.03125,-248.4302215576172,66590.953125,1.6979317665100098
episode,3034,24,34,-750.8310000000002,121,,,,
update,3072,24,35,,,30596.568359375,-213.10751342773438,61619.38671875,1.6791235208511353
