row_type,step,update,episode,episode_return,episode_length,loss,policy_loss,value_loss,entropy
episode,74,1,0,-1096.854,74,,,,
update,128,1,1,,,42197.96484375,-0.40298718214035034,84396.75,1.8178951740264893
episode,158,2,1,-746.399,84,,,,
episode,225,2,2,-878.7950000000001,67,,,,
update,256,2,3,,,56878.3984375,-0.3920787572860718,113757.6015625,1.9848171472549438
episode,279,3,3,-942.2810000000001,54,,,,
episode,324,3,4,-550.697,45,,,,
update,384,3,5,,,47266.7734375,-0.0916401743888855,94533.75,2.0652360916137695
episode,400,4,5,-571.663,76,,,,
episode,461,4,6,-738.7850000000001,61,,,,
update,512,4,7,,,31349.880859375,-0.30289047956466675,62700.390625,2.1567370891571045
episode,549,5,7,-229.39199999999988,88,,,,
episode,611,5,8,-732.9609999999999,62,,,,
update,640,5,9,,,28375.392578125,-0.3591083884239197,56751.5234375,2.0172324180603027
episode,670,6,9,-214.86700000000005,59,,,,
episode,726,6,10,36.29900000000006,56,,,,
update,768,6,11,,,14815.7578125,-0.25321832299232483,29632.0390625,1.7650915384292603
episode,770,7,11,-309.037,44,,,,
episode,829,7,12,-96.31300000000012,59,,,,
episode,864,7,13,-123.56,35,,,,
update,896,7,14,,,14106.4453125,-0.13528865575790405,28213.17578125,1.4158979654312134
episode,920,8,14,-280.37199999999996,56,,,,
episode,978,8,15,-485.36099999999993,58,,,,
update,1024,8,16,,,22814.30859375,-0.37625887989997864,45629.390625,1.884314775466919
episode,1056,9,16,-226.52600000000007,78,,,,
episode,1114,9,17,-637.87,58,,,,
update,1152,9,18,,,31607.169921875,-0.23632284998893738,63214.828125,1.6346391439437866
episode,1174,10,18,-471.005,60,,,,
episode,1244,10,19,99.41299999999997,70,,,,
update,1280,10,20,,,14012.41015625,-0.45657646656036377,28025.75390625,1.857966423034668
episode,1310,11,20,-108.29100000000003,66,,,,
episode,1369,11,21,-483.63100000000003,59,,,,
update,1408,11,22,,,15576.724609375,-0.32723867893218994,31154.12109375,1.7831034660339355
episode,1413,12,22,-112.66600000000014,44,,,,
episode,1457,12,23,-279.526,44,,,,
episode,1525,12,24,-1118.5700000000002,68,,,,
update,1536,12,25,,,54563.625,-0.3315877914428711,109127.9296875,1.7494089603424072
episode,1571,13,25,-211.12199999999996,46,,,,
episode,1631,13,26,-458.32900000000006,60,,,,
update,1664,13,27,,,17017.19921875,-0.3203008472919464,34035.05859375,2.0176548957824707
episode,1715,14,27,-556.64,84,,,,
episode,1770,14,28,48.870000000000005,55,,,,
update,1792,14,29,,,15964.0205078125,-0.5565714240074158,31929.173828125,1.8984087705612183
