row_type,step,update,episode,episode_return,episode_length,loss,policy_loss,value_loss,entropy
episode,82,1,0,-962.992,82,,,,
update,128,1,1,,,33775.09375,-0.24556036293506622,67550.71875,1.919313669204712
episode,175,2,1,8.81999999999988,93,,,,
episode,238,2,2,-497.488,63,,,,
update,256,2,3,,,16357.4306640625,0.009872150607407093,32714.875,1.687159538269043
episode,309,3,3,-523.2120000000001,71,,,,
update,384,3,4,,,17728.7734375,-0.19344562292099,35457.97265625,1.9780722856521606
episode,387,4,4,-249.56000000000006,78,,,,
episode,435,4,5,-381.42500000000007,48,,,,
episode,492,4,6,-444.71399999999994,57,,,,
update,512,4,7,,,23324.72265625,-0.05835673213005066,46649.609375,2.261817693710327
episode,575,5,7,-404.5859999999999,83,,,,
update,640,5,8,,,17893.34765625,-0.19533029198646545,35787.12109375,1.8189560174942017
episode,652,6,8,40.11999999999995,77,,,,
episode,764,6,9,201.445,112,,,,
update,768,6,10,,,7134.28125,-0.07266566157341003,14268.7451171875,1.8456635475158691
episode,813,7,10,-114.51100000000011,49,,,,
episode,873,7,11,-277.4940000000001,60,,,,
update,896,7,12,,,11253.869140625,-0.14214977622032166,22508.060546875,1.8211058378219604
episode,977,8,12,-385.986,104,,,,
update,1024,8,13,,,16424.138671875,-0.22267307341098785,32848.7578125,1.6895701885223389
episode,1062,9,13,-560.3320000000001,85,,,,
episode,1138,9,14,-186.40000000000012,76,,,,
update,1152,9,15,,,21263.455078125,-0.13174457848072052,42527.2109375,1.8743157386779785
episode,1228,10,15,-45.67700000000002,90,,,,
update,1280,10,16,,,7799.10693359375,-0.2092088758945465,15598.66796875,1.8177369832992554
episode,1321,11,16,-369.2010000000002,93,,,,
episode,1385,11,17,-285.3769999999999,64,,,,
update,1408,11,18,,,18343.263671875,-0.14314590394496918,36686.8515625,1.9604183435440063
episode,1497,12,18,-1035.6580000000001,112,,,,
update,1536,12,19,,,37866.8828125,-0.3147214651107788,75734.4375,1.804941177368164
episode,1567,13,19,-76.13500000000005,70,,,,
episode,1626,13,20,-68.87200000000007,59,,,,
update,1664,13,21,,,7252.16796875,-0.03908219560980797,14504.44921875,1.7807629108428955
episode,1721,14,21,-72.76799999999984,95,,,,
episode,1792,14,22,-266.628,71,,,,
update,1792,14,23,,,10843.0810546875,-0.05179078131914139,21686.30078125,1.7936408519744873
episode,1882,15,23,-98.82700000000013,90,,,,
update,1920,15,24,,,5678.79736328125,-0.0372510701417923,11357.701171875,1.6049137115478516
episode,1951,16,24,-86.12200000000003,69,,,,
episode,1998,16,25,-249.77099999999996,47,,,,
update,2048,16,26,,,10326.994140625,-0.1257179081439972,20654.275390625,1.7163583040237427
episode,2093,17,26,-1155.023,95,,,,
episode,2150,17,27,-316.378,57,,,,
update,2176,17,28,,,48007.0078125,-0.11449472606182098,96014.28125,2.025397777557373
episode,2255,18,28,25.511999999999865,105,,,,
update,2304,18,29,,,3928.04931640625,-0.10483359545469284,7856.34033203125,1.62031888961792
episode,2356,19,29,160.82100000000003,101,,,,
episode,2430,19,30,-946.1579999999999,74,,,,
update,2432,19,31,,,32950.0078125,-0.05357362702488899,65900.1640625,1.8447887897491455
episode,2503,20,31,-46.45900000000009,73,,,,
update,2560,20,32,,,5132.92138671875,0.07113030552864075,10265.732421875,1.6200388669967651
episode,2595,21,32,-468.56100000000004,92,,,,
episode,2660,21,33,-340.6120000000001,65,,,,
update,2688,21,34,,,19288.365234375,0.06831298023462296,38576.62890625,1.788926601409912
episode,2736,22,34,-19.526000000000067,76,,,,
update,2816,22,35,,,3290.5146484375,-0.05207604542374611,6581.166015625,1.6302261352539062
episode,2824,23,35,-310.693,88,,,,
episode,2925,23,36,-959.106,101,,,,
update,2944,23,37,,,31728.822265625,-0.05602710321545601,63457.79296875,1.7931044101715088
episode,2989,24,37,-527.033,64,,,,
update,3072,24,38,,,15625.0810546875,-0.005271553993225098,31250.20703125,1.7465938329696655
episode,3116,25,38,-469.3789999999998,127,,,,
episode,3186,25,39,-771.657,70,,,,
update,3200,25,40,,,39447.80078125,0.08655060827732086,78895.4609375,1.6497796773910522
episode,3283,26,40,-1094.5190000000002,97,,,,
update,3328,26,41,,,41950.1796875,0.15280550718307495,83900.0859375,1.6353658437728882
episode,3350,27,41,-521.082,67,,,,
update,3456,27,42,,,35777.95703125,0.06647135317325592,71555.8125,1.5376911163330078
