policy,cost_per_order,success_rate,ontime_rate,mean_delivery_time,energy_per_order,depletion_events,idle_pct,charger_utilization,n_delivered,n_dropped,episode_return
Random Policy,18.78035406746031,0.6527568062228323,0.890079365079365,39.175165343915346,0.3147555224867669,8.0,0.06802855804182396,0.06690761693901064,39.666666666666664,21.666666666666668,-168.326
Greedy Nearest,4.570042801915485,0.8549158221641059,0.902764421909452,34.086563025128456,0.2182026060941716,4.0,0.06667568662830013,0.12737547359538326,118.33333333333333,20.0,1183.2566666666671
MILP Rolling,4.722329311461045,0.8363957881199261,0.9109105399237051,32.511990838055674,0.21530528389326242,3.3333333333333335,0.06556271150824385,0.1325432733784415,118.0,23.0,1172.9980000000005
Role A - DQN,42.12448744658119,0.3340625,0.8624465811965812,37.02003205128205,0.2967897970085413,7.333333333333333,0.19159046407629388,0.0540592299988395,36.666666666666664,79.0,-1042.3776666666652
Role A - Double DQN,35.29483732416627,0.4166065416065416,0.8647990095358518,40.040566882672145,0.31700554501869654,7.666666666666667,0.1601700991751933,0.06301154647551431,37.0,61.0,-786.1433333333325
Role A - Dueling DQN,43.699907095599166,0.3141925072911305,0.8272004162949748,41.80439711567053,0.33983610243829454,6.333333333333333,0.1147202041198521,0.10121201524101313,43.0,92.66666666666667,-1126.7899999999988
Role B - A2C,25.68627145061728,0.564981684981685,0.9543209876543209,34.71512345679012,0.31377145061727907,8.0,0.1330250538553083,0.037159910031634207,29.666666666666668,23.0,-317.8593333333334
Role B - A2C BC Fine-tune,25.088645487916168,0.4252702362996481,0.8623338494297306,41.64453433408185,0.3057229809864614,5.0,0.03714621272323105,0.1290433844977367,58.0,78.66666666666667,-623.9976666666666
Role B - A2C Advantage Norm Off,34.93740412698413,0.4433635591501009,0.9866666666666667,33.282777777777774,0.32084857142856765,8.0,0.2705467100372279,0.0120788633418132,25.666666666666668,32.333333333333336,-511.6243333333335
Role B - BC Greedy,23.655745055896137,0.6048856367252594,0.9278759466282005,34.29424209640582,0.3118335280682741,7.0,0.09472942914857396,0.06803796085014119,43.666666666666664,48.333333333333336,-458.14066666666673
Role C - Priority Meta Dyna-Q V2,2.3741195823184102,0.9202508947938627,0.9262256462546499,33.254874298986,0.21996833323893353,2.0,0.057889658010750335,0.13690873763020323,130.33333333333334,11.333333333333334,1599.420000000001
Offline RL - Behavior Cloning,33.22581890838206,0.4505040363474098,0.9103313840155945,36.07563352826511,0.3082945419103256,7.666666666666667,0.16598913104150056,0.05976728858663805,37.666666666666664,56.333333333333336,-698.5556666666656
Offline RL - Naive DQN,19.56175653594771,0.7415035172472244,0.9509803921568626,34.67156862745098,0.3155147058823479,8.0,0.0941980783444198,0.03263490499262857,30.666666666666668,12.666666666666666,-150.58333333333337
Offline RL - IQL-lite,2.250621375510292,0.9336581771666621,0.9268667874860417,32.489531989675434,0.22092565727571925,2.3333333333333335,0.06259297001845232,0.13606858563001745,131.66666666666666,9.333333333333334,1631.3750000000011
Multi-Agent - IDQN BC Warm-start,16.58507628402671,0.6202078739392173,0.9232023626091422,32.32808166409861,0.2732311376476635,7.666666666666667,0.11340235688604648,0.0817770870228912,62.333333333333336,36.666666666666664,-42.41100000000029
