step,loss,bellman_loss,conservative_penalty,q_dataset_mean,q_max_mean,ood_gap
1,5.480015754699707,4.305242538452148,2.349546194076538,0.17159409821033478,0.7416365146636963,0.5700423717498779
100,3.465832233428955,2.2873213291168213,2.3570218086242676,0.7024609446525574,1.427376389503479,0.7249153852462769
200,2.9386162757873535,1.8344407081604004,2.2083511352539062,1.4948495626449585,2.298292398452759,0.8034430742263794
300,3.3660788536071777,2.37945294380188,1.9732518196105957,2.4041731357574463,3.1302123069763184,0.726038932800293
400,1.9544944763183594,0.9717007875442505,1.9655873775482178,3.538337230682373,4.422927379608154,0.8845901489257812
500,1.7537834644317627,0.7952001094818115,1.9171667098999023,3.891758441925049,4.94008731842041,1.04832923412323
600,1.9393320083618164,0.9317461848258972,2.015171527862549,5.088818073272705,6.0286784172058105,0.9398601651191711
700,1.5528839826583862,0.6108874082565308,1.883993148803711,5.833968162536621,6.717230796813965,0.8832622766494751
800,1.5493218898773193,0.5821871161460876,1.9342694282531738,7.072158336639404,7.893563270568848,0.8214051127433777
900,1.5244947671890259,0.5846906900405884,1.879608154296875,7.988459587097168,8.946473121643066,0.9580138921737671
1000,1.4698065519332886,0.622209906578064,1.6951932907104492,8.784621238708496,9.659761428833008,0.8751410245895386
1100,1.4126150608062744,0.61092209815979,1.6033859252929688,9.134664535522461,10.120010375976562,0.9853455424308777
1200,1.2585728168487549,0.5326335430145264,1.451878547668457,10.134598731994629,10.900849342346191,0.7662500143051147
1300,1.2056761980056763,0.5100570917129517,1.3912382125854492,10.854552268981934,11.768444061279297,0.9138932228088379
1400,1.3782614469528198,0.5363186597824097,1.6838855743408203,11.879015922546387,12.62042236328125,0.7414059042930603
1500,1.295243740081787,0.44902902841567993,1.692429542541504,11.830913543701172,12.954665184020996,1.123752236366272
